popden,hospitals,entertainment,monuments,schools,rent,lat,lon
19674,5,0,0,0,"14,000",17.53493929014609,78.44444777832891
19674,1,0,0,1,"30,000",17.39297782967992,78.6289366775304
13289,3,0,0,1,"14,000",17.322002305186867,78.68241656311274
24642,3,0,0,1,"16,000",17.3133869625565,78.36510356708547
22067,5,3,0,1,"14,000",17.3565011647454,78.6849819273035
11500,5,1,0,1,"30,000",17.48142004121254,78.33457967329339
13289,4,0,0,0,"22,000",17.489995761005407,78.26577600916086
19674,1,1,0,1,"11,000",17.574934304471856,78.47775627227625
13289,1,1,0,1,"16,000",17.56405851656172,78.50254373294588
13289,1,0,0,0,"22,000",17.499643554347223,78.66394980499072
13289,4,0,1,0,"11,000",17.541444877011976,78.20710144685813
11500,1,0,0,1,"14,000",17.38785367704411,78.54413702584633
22067,1,0,0,1,"22,000",17.248465619890386,78.43266210917987
11500,1,0,0,1,"11,000",17.239526920163165,78.6991996918096
22067,1,0,0,0,"16,000",17.512423948569392,78.65963074455583
22067,4,0,0,1,"14,000",17.49550555709626,78.461513195984
11500,5,0,0,0,"30,000",17.255183229857156,78.58997578197872
22067,5,0,0,0,"16,000",17.45561936261446,78.61556976205286
19674,3,0,0,1,"30,000",17.365299080112806,78.38540601605945
19674,3,0,1,0,"16,000",17.570582904493317,78.62790707277675
19674,3,3,0,1,"14,000",17.20615191592279,78.22734261884811
13289,4,0,1,1,"11,000",17.204445486722456,78.40771220016191
24642,5,3,0,1,"11,000",17.446857199947154,78.42322682954554
13289,1,3,1,0,"30,000",17.47498724852082,78.3404288573746
22067,1,0,1,1,"30,000",17.397799814939493,78.22833483589523
19674,1,1,0,1,"14,000",17.589976783849146,78.51299064890229
11500,4,0,1,1,"16,000",17.449924155052237,78.35882046621069
19674,4,3,0,1,"30,000",17.276022565250166,78.3890992226438
11500,1,0,0,1,"30,000",17.466894491365764,78.66968557759498
13289,1,0,1,1,"22,000",17.296431757406825,78.40423799559385
19674,3,0,1,1,"16,000",17.526970070125547,78.6900215924578
11500,1,1,0,1,"16,000",17.241160360204606,78.55736502865211
22067,4,3,0,1,"11,000",17.25051568971823,78.48352080888581
22067,1,0,0,0,"14,000",17.201987633042542,78.59802384945507
24642,1,0,0,1,"30,000",17.554813579101275,78.49705055401263
22067,3,0,0,1,"16,000",17.27911006951264,78.46053567797009
13289,4,0,1,1,"30,000",17.564930903244917,78.59125948410743
11500,4,3,0,0,"16,000",17.588467082873564,78.36780038074909
24642,3,3,1,1,"30,000",17.573994407747797,78.5671127177207
24642,3,0,0,0,"30,000",17.509565463033255,78.66977514133193
19674,5,0,0,1,"14,000",17.522815355514112,78.21356721354107
19674,3,0,0,0,"14,000",17.445060013247367,78.21661056503079
19674,3,0,1,0,"16,000",17.329556354589883,78.44781383164181
11500,3,0,0,0,"16,000",17.270209703533606,78.56151109383346
22067,3,3,1,0,"30,000",17.424978094460144,78.65688876989593
24642,1,0,0,0,"14,000",17.498760205377238,78.59832718060369
11500,1,0,0,1,"14,000",17.397108249417442,78.38994733561987
24642,5,0,0,0,"22,000",17.417216985168604,78.46616138939041
13289,1,0,0,1,"14,000",17.208972321540738,78.56827319151755
19674,1,1,0,1,"16,000",17.388539558263368,78.48628189117511
24642,3,1,0,0,"14,000",17.426995541985196,78.447549624075
22067,5,3,0,0,"14,000",17.376151910652954,78.27970109502334
22067,5,1,0,0,"30,000",17.342461449744373,78.49170419116405
24642,3,0,0,1,"11,000",17.39514623629344,78.27276821733456
11500,3,1,0,1,"16,000",17.43509846391304,78.57679358299653
24642,1,3,0,0,"14,000",17.511697507959905,78.28270760688267
24642,1,0,0,1,"22,000",17.49987595422892,78.5749364296994
24642,1,3,1,1,"16,000",17.294707667150817,78.61331343638545
19674,4,3,0,0,"30,000",17.257254311368083,78.69882515353197
11500,5,1,0,0,"14,000",17.346807118844882,78.3394986092703
13289,3,0,0,1,"22,000",17.516426093533912,78.45533958752529
22067,3,1,0,0,"22,000",17.20648352719119,78.6212030501561
24642,5,1,0,1,"30,000",17.25104597805575,78.64029941519411
11500,4,3,0,1,"16,000",17.428552992164242,78.62795834360881
22067,1,3,0,1,"30,000",17.551773655653317,78.34115044906612
24642,4,0,0,1,"14,000",17.20506125189698,78.64503126808683
24642,1,0,0,1,"14,000",17.482112252520558,78.53389361014075
19674,5,3,0,1,"11,000",17.25407395525534,78.53244244308466
22067,5,1,1,0,"16,000",17.441037366304982,78.5205006056764
11500,5,1,0,0,"30,000",17.45796170011855,78.51756692687526
22067,5,3,0,1,"14,000",17.24164673248949,78.2887284040574
11500,4,3,0,1,"14,000",17.564230674818273,78.3312127135699
22067,4,0,0,0,"22,000",17.485596715658396,78.22645329780485
11500,5,0,0,0,"16,000",17.334540449671604,78.66604460321813
24642,5,0,0,1,"16,000",17.44044779798192,78.28726841664842
22067,1,1,0,1,"11,000",17.48151778006614,78.24898717125797
13289,5,1,0,1,"30,000",17.572665963449754,78.69437084533054
24642,3,0,0,0,"14,000",17.530904401364758,78.2027425841433
22067,1,3,1,1,"22,000",17.39527145014249,78.31571558240803
19674,1,0,0,0,"11,000",17.347892353414,78.68687992699873
13289,1,3,0,0,"14,000",17.582550898861502,78.62070860476246
11500,5,0,0,1,"30,000",17.548612040627297,78.40372289190424
19674,1,0,1,1,"16,000",17.443868254198236,78.49446143673886
24642,4,0,0,1,"11,000",17.242834605274897,78.47116570759745
24642,1,0,0,1,"16,000",17.43722099852775,78.2209011996008
13289,3,0,0,0,"30,000",17.55669176139923,78.66756436086526
19674,1,0,1,1,"11,000",17.250395594066514,78.23235670051737
11500,1,1,0,1,"22,000",17.489393746235912,78.68916535386239
11500,1,1,0,1,"14,000",17.55943650971411,78.55312569192613
11500,4,0,0,0,"30,000",17.47093520063118,78.2207469060968
11500,1,3,0,1,"16,000",17.236631965933626,78.40301703338288
11500,1,1,0,1,"16,000",17.352114384653014,78.54004287382635
11500,1,1,0,1,"30,000",17.585991343601364,78.29642017502479
24642,1,0,0,0,"11,000",17.329474525842027,78.28018333943835
11500,4,0,0,1,"22,000",17.32577726764554,78.24588113920235
22067,1,0,0,1,"14,000",17.468907205404626,78.56556723095925
22067,1,0,0,1,"22,000",17.30765419262344,78.28877996121565
11500,3,3,0,0,"14,000",17.228408330808165,78.47196860843837
22067,1,1,0,0,"30,000",17.578633242434826,78.49609178068434
13289,1,1,0,1,"16,000",17.509671880744826,78.59576729684055
11500,3,0,0,1,"30,000",17.425904854907493,78.33688097474064
19674,3,0,0,0,"22,000",17.409336808268698,78.38854921471352
19674,4,0,0,1,"14,000",17.57057378566651,78.4105619105025
13289,1,0,0,1,"11,000",17.404476951739188,78.54184774185593
19674,1,0,0,1,"22,000",17.35422774289152,78.27609289783199
11500,3,0,0,1,"30,000",17.390608221818166,78.57574643228772
22067,3,0,0,0,"22,000",17.32301357527328,78.66228165814844
13289,4,3,0,1,"30,000",17.232138329889153,78.42176048293686
24642,4,1,0,0,"22,000",17.32844918030978,78.47901205141852
19674,4,0,0,0,"11,000",17.431623351042465,78.23046369934032
24642,1,0,0,1,"11,000",17.261139174207166,78.5421685922565
13289,3,0,0,1,"16,000",17.295278079088273,78.34830698267511
24642,4,1,1,1,"22,000",17.33893583084597,78.63029774649254
22067,1,0,0,0,"22,000",17.43397463221931,78.59896352690342
22067,1,0,0,0,"30,000",17.314398789953362,78.59162243421082
19674,3,3,0,1,"11,000",17.470804091046475,78.39488115975315
22067,1,3,0,0,"14,000",17.458064142887544,78.61387118454394
11500,1,3,0,1,"22,000",17.37097903073083,78.51402550926147
13289,3,1,0,1,"11,000",17.385016255962285,78.53216587144162
24642,1,1,0,0,"11,000",17.30516147275484,78.48099040218062
22067,3,1,1,1,"16,000",17.277906792802796,78.54522091018502
11500,5,0,0,1,"14,000",17.329498026426684,78.45762086742465
24642,5,0,0,1,"22,000",17.33985044191462,78.64196206677872
11500,4,3,0,0,"14,000",17.2722280358783,78.42794586126742
24642,4,0,1,0,"14,000",17.46221776947082,78.50350944054652
24642,4,1,0,1,"16,000",17.21182722334471,78.67169813644476
24642,1,1,0,1,"16,000",17.28474496794561,78.48953361071749
19674,1,1,0,1,"11,000",17.232924952932056,78.2817954800713
11500,3,0,0,0,"11,000",17.363444455235395,78.30441868732343
19674,1,3,0,0,"16,000",17.41141818456081,78.6522673718876
11500,3,3,0,0,"14,000",17.554032747853444,78.4662280618615
11500,1,0,0,1,"16,000",17.306138476657214,78.60542191673902
22067,4,1,0,1,"11,000",17.28593550154627,78.50887925459146
11500,5,0,0,1,"14,000",17.201375640093698,78.21969976623141
24642,3,0,0,1,"14,000",17.310046443467535,78.21283699539373
22067,3,1,0,1,"16,000",17.545032871867683,78.5753955419242
22067,1,1,0,0,"11,000",17.227689379192633,78.66239815559868
19674,1,3,0,1,"30,000",17.32333002232314,78.21307344294321
24642,3,3,0,1,"11,000",17.567356411259205,78.69510004593768
13289,3,0,1,0,"14,000",17.478115024997827,78.53939098697533
11500,3,1,0,0,"16,000",17.47841661055146,78.39073691711721
13289,5,0,0,0,"11,000",17.59550268997982,78.41596831442672
24642,1,1,0,1,"16,000",17.529075618658997,78.59666821147408
22067,1,1,0,1,"30,000",17.439052920979726,78.64056252624928
13289,4,0,0,1,"14,000",17.483900918754877,78.39388432054604
11500,4,0,0,1,"16,000",17.245985626547302,78.3243972909393
11500,3,1,0,1,"14,000",17.4412365670049,78.56657953954137
19674,1,0,0,0,"11,000",17.507821338996365,78.49682591910752
11500,3,0,0,1,"30,000",17.55987855938171,78.24315346993495
13289,1,0,0,1,"30,000",17.306688236652597,78.69310400770236
24642,5,0,0,1,"16,000",17.58806146969464,78.56050562178167
24642,1,3,0,1,"11,000",17.57282339447175,78.4745550844506
19674,3,0,0,1,"22,000",17.272699431283833,78.37709128641922
22067,1,0,0,0,"22,000",17.581574735017536,78.2732532484572
19674,1,0,0,1,"30,000",17.50194717297376,78.21347540607121
11500,1,0,0,1,"22,000",17.48789850268147,78.55871187589942
24642,5,0,0,1,"14,000",17.37947024693155,78.6601608178088
11500,3,0,0,0,"14,000",17.31404212602496,78.52884523044223
19674,4,0,0,1,"16,000",17.421258115750362,78.6791824272699
19674,1,0,0,1,"16,000",17.53610901478778,78.50881886498941
22067,1,0,1,1,"11,000",17.454900015457355,78.38031428970655
19674,4,3,0,0,"22,000",17.284113787451222,78.69315237213854
22067,1,0,0,1,"22,000",17.27550317902953,78.29442538088888
13289,4,1,0,1,"14,000",17.382037577146512,78.46724571365216
13289,5,0,0,1,"22,000",17.322294717044628,78.34083999668871
22067,5,0,1,1,"22,000",17.51766161608025,78.38249092674029
22067,3,1,0,1,"22,000",17.580724148275184,78.20983703584827
19674,4,3,0,0,"11,000",17.225751225391893,78.32357965207763
24642,3,0,0,0,"11,000",17.364177331272007,78.68747728227446
24642,1,1,0,1,"30,000",17.47184754843986,78.30705833291347
13289,1,0,1,0,"11,000",17.41905299616806,78.23099659726338
19674,5,1,1,1,"30,000",17.385739677902237,78.50412073199871
13289,3,1,0,1,"22,000",17.44490091422342,78.41303164903054
13289,1,3,1,0,"14,000",17.445560642604423,78.4534057805962
19674,5,0,0,1,"22,000",17.53779869393518,78.35352136213884
24642,3,0,0,1,"30,000",17.478343384321217,78.52477113929316
13289,3,0,0,0,"30,000",17.29650616040675,78.67155116631194
19674,5,0,0,0,"30,000",17.244903262006435,78.51482875481886
24642,4,0,0,1,"22,000",17.51011040889,78.46820020529891
22067,1,0,0,1,"30,000",17.258488056506426,78.30981376390582
24642,1,3,0,1,"30,000",17.479804987897673,78.47103139468274
19674,1,0,0,0,"22,000",17.543751341739377,78.45868184398662
13289,4,0,0,1,"14,000",17.43061957502345,78.30403375674136
22067,3,0,0,1,"11,000",17.386829802496877,78.64346349296021
19674,4,0,1,0,"30,000",17.421283883042033,78.22658626810853
24642,1,3,1,0,"14,000",17.57349015470872,78.33961588094895
13289,1,3,0,0,"30,000",17.33117461949652,78.47045250497825
24642,1,0,0,0,"22,000",17.455902487185348,78.26751506117893
24642,5,0,1,0,"11,000",17.58857155088317,78.58510347689614
22067,5,0,0,1,"30,000",17.531898850245838,78.52767538996548
11500,1,0,0,1,"22,000",17.434916805729422,78.42862351611771
24642,4,3,0,1,"16,000",17.325793126314906,78.51257096453196
19674,5,3,0,0,"14,000",17.28191221555922,78.29102210914179
22067,4,0,0,1,"11,000",17.266682992201286,78.5204688818331
24642,4,0,1,1,"30,000",17.368797170348486,78.27586171108794
19674,5,0,0,1,"16,000",17.254469306183967,78.48495612856127
13289,1,0,0,1,"16,000",17.52795571021438,78.42308126992111
11500,4,0,0,1,"22,000",17.52644432249254,78.49547753660535
19674,3,0,0,0,"14,000",17.594950916076225,78.29258263773464
19674,3,0,0,0,"22,000",17.457957004700155,78.56595190750245
13289,1,0,0,0,"16,000",17.30466151383011,78.39073046505531
11500,1,0,0,0,"16,000",17.375671729020112,78.27008247536422
22067,4,0,0,1,"16,000",17.34727882298209,78.63016741324981
13289,4,3,0,1,"22,000",17.362916429568,78.69354500340198
11500,1,3,1,0,"16,000",17.45995247822705,78.26038168543008
24642,3,1,0,1,"30,000",17.343186411339072,78.64580938030163
22067,3,0,0,1,"16,000",17.36621239545125,78.39148875646987
22067,1,1,0,1,"22,000",17.569997243364657,78.47324529190631
22067,4,0,0,1,"11,000",17.49059811512662,78.29446214145209
24642,1,0,0,1,"14,000",17.51913832329232,78.62314820069443
11500,1,0,0,1,"22,000",17.29780218904145,78.48577940881518
19674,1,0,0,1,"30,000",17.48662674656201,78.21464664717878
24642,1,0,1,1,"22,000",17.5401104748441,78.52701172223574
24642,4,3,0,0,"11,000",17.563658521173114,78.42083930436522
19674,1,0,0,0,"30,000",17.49840378617638,78.6751022752098
24642,1,0,0,0,"30,000",17.331283513707245,78.28137900136336
19674,5,3,0,1,"22,000",17.322709310846683,78.46418933627046
22067,3,0,1,1,"16,000",17.501238933925567,78.6381603931974
13289,1,3,0,0,"14,000",17.254808710448007,78.23771005976481
19674,4,0,0,1,"30,000",17.526749174856892,78.48430904438591
11500,5,0,0,1,"30,000",17.454950094536503,78.24884451058648
24642,1,0,1,1,"22,000",17.374446358447983,78.32459536000026
22067,1,0,0,1,"14,000",17.210750811650197,78.25041515096886
22067,1,3,0,1,"14,000",17.41810963109698,78.57147822707867
19674,3,0,0,0,"14,000",17.43317680058434,78.23640773125167
11500,1,0,1,1,"16,000",17.559788843966608,78.67274053636356
13289,3,1,0,1,"22,000",17.5717546015792,78.64194545328782
24642,5,1,1,1,"16,000",17.34030952430547,78.47295896779544
13289,1,0,0,1,"30,000",17.369177429782944,78.5716167493306
13289,1,0,0,1,"22,000",17.575264329720763,78.28151763684914
11500,5,3,0,1,"22,000",17.529720333324224,78.31050251976963
13289,1,0,0,0,"11,000",17.272069543228366,78.38375743056248
13289,3,0,0,1,"30,000",17.438433619051075,78.22828357986103
13289,1,0,0,1,"11,000",17.37652153766459,78.5183603677276
13289,3,3,0,1,"14,000",17.39195887150689,78.56103536422093
11500,1,3,0,1,"30,000",17.31770840279546,78.41740090983122
19674,1,0,0,0,"22,000",17.451839058442996,78.5689700622936
24642,5,3,0,1,"11,000",17.205113724120217,78.22954911960103
22067,4,3,0,0,"22,000",17.30122563082365,78.60700245153913
11500,3,3,0,0,"11,000",17.356040519465477,78.4898301873246
11500,4,0,0,1,"16,000",17.331050394332912,78.28962758552491
24642,4,1,0,1,"22,000",17.317394123056104,78.4491276386576
24642,3,1,0,1,"14,000",17.377881530388304,78.67814156886813
22067,4,3,0,0,"14,000",17.284043296313296,78.34464800523008
22067,1,0,1,0,"30,000",17.393593527306702,78.44550673054195
13289,5,3,1,0,"16,000",17.33939824706151,78.44192954463841
19674,3,1,1,1,"22,000",17.598621133678854,78.50643743121698
24642,1,1,0,1,"22,000",17.411012587084727,78.5534527144568
19674,3,0,0,1,"30,000",17.25674798822101,78.48350799784916
24642,5,3,0,0,"11,000",17.48999930167415,78.31207063346865
24642,1,0,0,0,"22,000",17.316535760850158,78.65132612746915
22067,1,3,0,0,"11,000",17.488031079906616,78.65265306986308
13289,1,0,0,0,"22,000",17.51144676292629,78.37729637698784
24642,3,1,0,1,"22,000",17.314297491684584,78.4288364387735
13289,3,0,1,0,"22,000",17.51924991620956,78.32361862815962
19674,1,0,0,1,"22,000",17.267592946533114,78.26304783599117
19674,1,3,0,1,"11,000",17.214931072963324,78.20246242856466
11500,4,1,0,1,"11,000",17.560023890834053,78.58865584999972
11500,5,1,0,0,"22,000",17.33289074507289,78.69028641260365
22067,1,0,1,1,"22,000",17.23940085235108,78.35840659100731
24642,4,1,0,1,"22,000",17.355579149517574,78.50824230010554
24642,5,0,0,1,"22,000",17.417745216285827,78.28073629561209
24642,4,0,1,0,"11,000",17.29520660698325,78.42325482709877
22067,1,0,0,1,"11,000",17.29859397815873,78.59966214587845
13289,1,0,0,0,"16,000",17.42550991660032,78.68266732950224
19674,5,3,0,1,"11,000",17.415361778391908,78.68756759806017
13289,1,1,0,1,"30,000",17.468960425405506,78.60461367682052
13289,3,0,0,1,"22,000",17.388425771367324,78.43596398300166
11500,4,3,0,0,"22,000",17.253293234370975,78.3937326695502
13289,1,0,0,1,"11,000",17.486814573745594,78.49231756484184
13289,4,0,0,1,"16,000",17.409256345359914,78.65267753984327
11500,5,3,0,1,"16,000",17.27263695920055,78.27741748662007
24642,3,0,0,0,"11,000",17.512753779138848,78.4164181542115
11500,4,3,0,0,"30,000",17.34167346586237,78.62768291518337
22067,5,0,1,1,"11,000",17.55459488935165,78.36283862988985
22067,3,0,0,0,"30,000",17.273801365434874,78.46496673589935
24642,5,3,0,1,"30,000",17.588864291016716,78.45287648560006
13289,3,3,0,1,"16,000",17.319216675848043,78.6435432423233
22067,5,0,0,0,"11,000",17.36218762316974,78.45696872985592
13289,3,0,0,1,"30,000",17.428682991244703,78.64416352599099
13289,1,0,0,1,"14,000",17.403049550825017,78.61132764287153
11500,1,1,0,1,"14,000",17.483391584356973,78.28734666613141
11500,4,0,0,1,"11,000",17.373151630077807,78.66600403651974
24642,5,0,1,0,"30,000",17.5237013709409,78.47235228919416
19674,1,0,0,0,"14,000",17.40983433618285,78.33807867313804
22067,1,0,0,1,"11,000",17.24067795681557,78.4155022554488
11500,1,0,0,1,"22,000",17.314946793027715,78.46832445230477
19674,1,1,0,1,"14,000",17.2822414478905,78.34734486695129
13289,5,3,0,1,"16,000",17.339217002837092,78.2392642311344
24642,4,0,0,0,"11,000",17.335525201040117,78.27360023046234
22067,1,1,0,0,"11,000",17.34080261251744,78.38887763343725
19674,5,0,1,1,"22,000",17.27007726314774,78.30299103001495
13289,4,0,1,0,"30,000",17.547134836413036,78.39859357710849
11500,5,0,0,1,"14,000",17.527483516790937,78.3077254929764
13289,4,3,0,0,"30,000",17.448378827545497,78.6483707126426
13289,1,0,0,1,"11,000",17.52957241628289,78.66636775280402
11500,5,0,0,0,"30,000",17.20150792623441,78.59079940805351
22067,4,0,0,1,"30,000",17.39789894358862,78.4241258199207
11500,1,0,1,1,"22,000",17.402444186403905,78.59595975011275
13289,5,0,0,1,"30,000",17.336504873926614,78.69274385468613
11500,3,0,0,1,"22,000",17.427393970039116,78.36057449618315
11500,1,1,1,1,"22,000",17.557406893010313,78.60785576640048
19674,1,0,0,1,"16,000",17.290637511984112,78.20900208775326
19674,1,0,1,0,"14,000",17.381306974980813,78.46661441801454
11500,1,0,1,0,"14,000",17.52996090888499,78.4257330555383
24642,1,1,0,1,"14,000",17.34414630519655,78.60044059978314
11500,1,0,0,0,"14,000",17.381597108091228,78.40008201137792
11500,5,1,0,1,"14,000",17.55824235474283,78.22491236777287
19674,1,0,0,1,"22,000",17.285801395752635,78.43590603422398
13289,3,0,0,1,"11,000",17.544422516978333,78.28851411646528
24642,1,0,0,1,"22,000",17.200809797724524,78.45507117084392
19674,1,0,0,1,"22,000",17.308181488977365,78.41818470159556
19674,5,0,0,1,"16,000",17.380767350723094,78.22744882771673
11500,3,0,0,1,"22,000",17.45237345604527,78.3482972441782
19674,5,0,0,0,"14,000",17.397202912695636,78.37536924770278
13289,4,3,1,0,"30,000",17.339164672523438,78.31971694743872
22067,1,1,0,1,"16,000",17.315226530422734,78.45068907194808
13289,1,3,0,0,"22,000",17.310664445585246,78.3652021037746
11500,5,3,0,1,"16,000",17.461302892605076,78.3408065048903
13289,1,1,0,0,"14,000",17.305917676654627,78.52069843827827
24642,5,3,1,1,"30,000",17.287916419278076,78.3713936926356
11500,4,0,0,1,"22,000",17.575423139697776,78.4389416204716
24642,3,0,0,1,"16,000",17.277372092297064,78.3249559035726
13289,5,0,1,1,"16,000",17.26461044217334,78.42443363196018
24642,1,1,0,1,"22,000",17.299325352142134,78.27854073972436
11500,4,0,0,1,"22,000",17.53264083454955,78.68815944813738
19674,1,0,0,1,"11,000",17.249860201881475,78.51310104071325
13289,1,0,0,1,"11,000",17.526066975632293,78.42561634058922
19674,3,0,0,1,"30,000",17.479506182755156,78.21132419082082
24642,1,3,0,0,"16,000",17.36407867931081,78.6486998041192
13289,1,0,0,0,"11,000",17.51547461357158,78.3890980599418
19674,1,3,0,0,"30,000",17.487855039719804,78.41466219427822
22067,1,0,0,1,"14,000",17.42177106629851,78.44946049725125
11500,3,1,0,0,"11,000",17.4994667827127,78.22529443754077
11500,3,1,0,0,"11,000",17.43204350514964,78.61322147216383
24642,1,3,0,1,"22,000",17.404846645139173,78.21020058382375
24642,3,3,1,1,"22,000",17.501401301107144,78.36153629703463
24642,5,3,0,0,"11,000",17.40366923035154,78.65410357263704
13289,1,0,0,0,"16,000",17.327683602753254,78.57248200159404
13289,1,3,0,0,"11,000",17.31111388540018,78.67923812393792
11500,1,0,0,1,"16,000",17.20012536665735,78.26477171685828
22067,3,3,1,1,"11,000",17.460748749749364,78.26745069639513
24642,5,0,1,1,"16,000",17.339752427872444,78.36246563835297
22067,5,1,0,1,"30,000",17.573773205269127,78.40637239685384
24642,1,3,1,1,"22,000",17.49678916652667,78.51369836037166
24642,5,0,0,1,"11,000",17.21555308093483,78.3685898243751
